Ekonomika_i_zarzadzanie 2016 01 18 09 45 B4_313 0
Podstawy_Sztucznej_Inteligencji 2016 01 18 13 15 B4_101 0 
Programowanie_Rownolegle 2016 01 19 11 30 B5_404 0
Komputeryzacja_Pomiarow 2016 01 19 13 45 C2_221 0
Ochrona_Srodowiska 2016 01 20 08 00 B4_312 0
Komputeryzacja_Pomiarow 2016 01 20 10 30 C2_221 0
Inzynieria_Oprogramowania 2016 01 20 12 00 B5_311 0
Inzynieria_Oprogramowania 2016 01 20 13 30 B5_311 0
Ochrona_Srodowiska 2016 01 21 08 00 B4_312 0
Komputeryzacja_Pomiarow 2016 01 21 10 30 C2_221 0
Inzynieria_Oprogramowania 2016 01 21 12 00 B5_311 0
Inzynieria_Oprogramowania 2016 01 21 13 30 B5_311 0
Ochrona_Srodowiska 2016 01 22 08 00 B4_312 0
Komputeryzacja_Pomiarow 2016 01 22 10 30 C2_221 0
Inzynieria_Oprogramowania 2016 01 22 12 00 B5_311 0
Inzynieria_Oprogramowania 2016 01 22 13 30 B5_311 0
